"No.","Time","Source","Destination","Protocol","Length","Info"
"90","70.351336","127.0.0.1","127.0.0.1","TCP","56","51709  >  12000 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM=1"
"91","70.351413","127.0.0.1","127.0.0.1","TCP","56","12000  >  51709 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM=1"
"92","70.351474","127.0.0.1","127.0.0.1","TCP","44","51709  >  12000 [ACK] Seq=1 Ack=1 Win=2619648 Len=0"
"93","70.351500","127.0.0.1","127.0.0.1","TCP","55","51709  >  12000 [PSH, ACK] Seq=1 Ack=1 Win=2619648 Len=11"
"94","70.351531","127.0.0.1","127.0.0.1","TCP","44","12000  >  51709 [ACK] Seq=1 Ack=12 Win=2619648 Len=0"
"95","70.351679","127.0.0.1","127.0.0.1","TCP","44","12000  >  51708 [FIN, ACK] Seq=20 Ack=45 Win=2619648 Len=0"
"96","70.351717","127.0.0.1","127.0.0.1","TCP","44","51708  >  12000 [ACK] Seq=45 Ack=21 Win=2619648 Len=0"
"97","70.352656","127.0.0.1","127.0.0.1","TCP","55","12000  >  51709 [PSH, ACK] Seq=1 Ack=12 Win=2619648 Len=11"
"98","70.352698","127.0.0.1","127.0.0.1","TCP","44","51709  >  12000 [ACK] Seq=12 Ack=12 Win=2619648 Len=0"
"99","70.353456","127.0.0.1","127.0.0.1","TCP","60","51709  >  12000 [PSH, ACK] Seq=12 Ack=12 Win=2619648 Len=16"
"100","70.353503","127.0.0.1","127.0.0.1","TCP","44","12000  >  51709 [ACK] Seq=12 Ack=28 Win=2619648 Len=0"
"101","70.354150","127.0.0.1","127.0.0.1","TCP","44","51709  >  12000 [FIN, ACK] Seq=28 Ack=12 Win=2619648 Len=0"
"102","70.354197","127.0.0.1","127.0.0.1","TCP","44","12000  >  51709 [ACK] Seq=12 Ack=29 Win=2619648 Len=0"
"103","80.398306","127.0.0.1","127.0.0.1","TCP","56","51710  >  12000 [SYN] Seq=0 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM=1"
"104","80.398401","127.0.0.1","127.0.0.1","TCP","56","12000  >  51710 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=65495 WS=256 SACK_PERM=1"
